"customer_id";"customer_name";"phone_number";"current_address";"current_tariff";"current_energy_rate";"meter_type"
1;"Breh";"123-456-7890";"test address";0.05;50.0;"Electric"
4;"John";"111-111-1111";"Johnyy Lane";1000.0;0.96;"Broken"
5;"Bill";"111-222-3344";"test lane";0.25;0.5;"Electric 2000"
6;"Billy";"124-445-1234";"401 Billy Goat Lane";0.75;100.0;"Electric 2.0"
7;"Bruce Wayne";"555-666-9999";"600 Bat Lane";0.5;1000.0;"Electric"
13;"Wilson";"11-11-1111";"11 Nut Lane";11.0;11.0;"1111"
15;"Vanessa Hudgens";"999-0000-7777";"708 Dude Street";100.0;1000.0;"Electric"
16;"Bruce Willis";"400-333-1111";"Bruce WIllis Lane";0.89;100.0;"Gas"
17;"Bruce Wayne";"555-666-9999";"600 Bat Lane";0.5;1000.0;"Electric"
18;"Bobby";"515-222-3333";"605 Lane St";0.3;40.0;"Gas"
19;"Susan";"555-555-4444";"504 Street";0.22;11.0;"Electric"
20;"Susan";"555-444-4444";"401 Street";0.05;50.0;"Electric"
21;"Bro";"333-333-3333";"666 Street";0.05;50.0;"Electric"
22;"Beetlejuice";"111-111-2222";"666 Lane";0.12;200.0;"Gas"
23;"Archibald";"111-222-3333";"59 Lane";0.15;200.0;"Electric"
24;"Lance";"666-666-7777";"403 Street";0.05;50.0;"Electric"
25;"Gerald";"777-888-9999";"69 Street";0.05;50.0;"Electric"
26;"Twang";"222-333-4444";"55 Lane";0.05;50.0;"Electric"
27;"King George";"999-888-7777";"Buckingham Palace";0.5;200.0;"Gas"
28;"Kindle";"222-111-43444";"667699 Beefy Road";0.05;50.0;"Electric"
29;"Koo";"555-888-3222";"333 Garage";0.05;50.0;"Electric"
30;"Ding dong";"777-666-8888";"444 Lane Road";0.05;50.0;"Electric"
31;"Chopstick";"666-555-4444";"666 Street";0.05;50.0;"Electric"
32;"Goober";"222-555-4444";"66888 Lane";0.05;50.0;"Electric"
33;"Timothy";"888-777-5655";"999 Shirt Street";0.05;50.0;"Electric"
34;"Bobby Jim";"666-555-4444";"555 Street Streeet";0.05;50.0;"Electric"
35;"Dobby";"544-333-2222";"444 Hogwarts Lane";0.1;50.0;"Electric"
36;"Dingbat";"111-222-3333";"6677 Firehose Lane";0.05;50.0;"Electric"
